"Country","Industry_simple","Aggregate_level","Currency_ISO","Metric_type","GDP_perc_norm_mean","GDP_annual_mean","GVA_total_mean","GVA_total_allyears","Country_iso","Country_short","both_rel_mean"
"Papua New Guinea","Fishing",1,"PGK","Constant",16.4212816372037,65038163500,10680100000,42720400000,"PNG","PNG",44.9722876938246
"Papua New Guinea","Mining",1,"PGK","Constant",28.5510060566209,65038163500,18569050000,74276200000,"PNG","PNG",44.9722876938246
"Indonesia","Fishing",1,"IDR","Constant",20.2969621903165,6.8641331e+15,1.3932105e+15,5.572842e+15,"IDN","Indonesia",32.2319288942693
"Indonesia","Mining",1,"IDR","Constant",11.9349667039528,6.8641331e+15,8.19232e+14,3.276928e+15,"IDN","Indonesia",32.2319288942693
"Poland","Fishing",1,"PLN","Constant",2.37011049941867,1.798471e+12,42625750000,1.70503e+11,"POL","Poland",29.5491142198012
"Poland","Mining",1,"PLN","Constant",27.1790037203825,1.798471e+12,488806500000,1.955226e+12,"POL","Poland",29.5491142198012
"Bulgaria","Fishing",1,"BGN","Constant",5.31782549395853,89571386000,4763250000,1.9053e+10,"BGR","Bulgaria",26.3929152553249
"Bulgaria","Mining",1,"BGN","Constant",21.0750897613664,89571386000,18877250000,7.5509e+10,"BGR","Bulgaria",26.3929152553249
"Vanuatu","Fishing",1,"VUV","Constant",25.9334307049845,4.8611e+10,12606500000,5.0426e+10,"VUT","Vanuatu",26.0044022957767
"Vanuatu","Mining",1,"VUV","Constant",0.0709715907922075,4.8611e+10,34500000,1.38e+08,"VUT","Vanuatu",26.0044022957767
"New Zealand","Fishing",1,"NZD","Constant",4.64197566401661,2.5534e+11,11852820660.5,47411282642,"NZL","NZL",20.1939243405851
"New Zealand","Mining",1,"NZD","Constant",15.5519486765685,2.5534e+11,39710345750.75,158841383003,"NZL","NZL",20.1939243405851
"Tonga","Fishing",1,"PT","Constant",17.6004337760022,1017668100,179114000,716456000,"TON","Tonga",18.1305427575061
"Tonga","Mining",1,"PT","Constant",0.530108981503891,1017668100,5394750,21579000,"TON","Tonga",18.1305427575061
"Australia","Fishing",1,"AUD","Constant",2.4074444726839,2.333221e+12,5.6171e+10,2.24684e+11,"AUS","Australia",16.6372366783944
"Australia","Fishing",2,"AUD","Constant",0.350920465742422,2.333221e+12,8187750000,3.2751e+10,"AUS","Australia",16.6372366783944
"Australia","Mining",1,"AUD","Constant",13.8788717399681,2.333221e+12,323824750000,1.295299e+12,"AUS","Australia",16.6372366783944
"Panama","Fishing",1,"PAB","Constant",3.55351761403762,54091800000,1922161640.75,7688646563,"PAN","Panama",15.9198579710788
"Panama","Mining",1,"PAB","Constant",12.3663403570412,54091800000,6689176093.25,26756704373,"PAN","Panama",15.9198579710788
"Chile","Fishing",1,"CLP","Constant",3.86502700968655,191482725057500,7.38675e+12,2.9547e+13,"CHL","Chile",12.4288967485488
"Chile","Mining",1,"CLP","Constant",8.56386973886226,191482725057500,1.63565e+13,6.5426e+13,"CHL","Chile",12.4288967485488
"Belize","Fishing",1,"BZD","Constant",9.93000128456676,4250251212.51446,422050000,1688200000,"BLZ","Belize",11.9798801186335
"Belize","Mining",1,"BZD","Constant",0.765837085209449,4250251212.51446,32550000,130200000,"BLZ","Belize",11.9798801186335
"Belize","Mining",2,"BZD","Constant",1.28404174885732,4250251212.51446,54575000,218300000,"BLZ","Belize",11.9798801186335
"Fiji","Fishing",1,"FJD","Constant",9.25572158044537,9167032441.77719,848475000,3393900000,"FJI","Fiji",9.84997059555455
"Fiji","Mining",1,"FJD","Constant",0.59424901510918,9167032441.77719,54475000,217900000,"FJI","Fiji",9.84997059555455
"Canada","Fishing",1,"CAD","Constant",1.9001317829566,2.140641e+12,4.0675e+10,1.627e+11,"CAN","Canada",8.22590055969217
"Canada","Fishing",2,"CAD","Constant",0.102807990690639,2.140641e+12,2200750000,8.803e+09,"CAN","Canada",8.22590055969217
"Canada","Mining",1,"CAD","Constant",4.98927657650209,2.140641e+12,106802500000,4.2721e+11,"CAN","Canada",8.22590055969217
"Canada","Mining",2,"CAD","Constant",1.23368420954284,2.140641e+12,26408750000,1.05635e+11,"CAN","Canada",8.22590055969217
"Jamaica","Fishing",1,"JMD","Constant",6.178412704148,8.85632e+11,5.4718e+10,2.18872e+11,"JAM","Jamaica",8.21306140699523
"Jamaica","Mining",1,"JMD","Constant",2.03464870284723,8.85632e+11,18019500000,7.2078e+10,"JAM","Jamaica",8.21306140699523
"Germany","Fishing",1,"EUR","Constant",3.26166982796793,3.02618e+12,9.8704e+10,4.9352e+11,"DEU","Germany",6.57219663073578
"Germany","Mining",1,"EUR","Constant",3.31052680276785,3.02618e+12,100182500000,4.0073e+11,"DEU","Germany",6.57219663073578
"Palau","Fishing",1,"USD","Constant",3.06769815800685,281970375,8650000,34600000,"PLW","Palau",3.58193657755713
"Palau","Mining",1,"USD","Constant",0.514238419550281,281970375,1450000,5800000,"PLW","Palau",3.58193657755713
"United States","Fishing",1,"USD","Constant",0.902279423872371,19477336549000,1.7574e+11,8.787e+11,"USA","USA",3.53290090905847
"United States","Fishing",2,"USD","Constant",0.896683176165413,19477336549000,1.7465e+11,6.986e+11,"USA","USA",3.53290090905847
"United States","Mining",1,"USD","Constant",1.45682136408208,19477336549000,2.8375e+11,1.135e+12,"USA","USA",3.53290090905847
"United States","Mining",2,"USD","Constant",0.27711694493861,19477336549000,5.3975e+10,2.159e+11,"USA","USA",3.53290090905847
"Finland","Fishing",1,"EUR","Constant",2.43873440783854,240570250000,5863250000,2.3453e+10,"FIN","Finland",2.83105998596339
"Finland","Mining",1,"EUR","Constant",0.392325578124853,237716400000,932800000,4.664e+09,"FIN","Finland",2.83105998596339
"Portugal","Fishing",1,"EUR","Constant",2.11389564870115,186489811000,3942200000,15768800000,"PRT","Portugal",2.44392708403785
"Portugal","Mining",1,"EUR","Constant",0.3300314353367,186489811000,615475000,2461900000,"PRT","Portugal",2.44392708403785
"France","Fishing",1,"EUR","Constant",1.4594618481555,2.149765e+12,3.1375e+10,1.255e+11,"FRA","France",1.54668068370264
"France","Mining",1,"EUR","Constant",0.0872188355471412,2.149765e+12,1.875e+09,7.5e+09,"FRA","France",1.54668068370264
"United Kingdom","Fishing",1,"GBP","Constant",0.582182628660548,2.233921e+12,13005500000,5.2022e+10,"GBR","GBR",1.51016978666658
"United Kingdom","Mining",1,"GBP","Constant",0.927987158006035,2.233921e+12,20730500000,8.2922e+10,"GBR","GBR",1.51016978666658
"Japan","Fishing",1,"JPY","Constant",0.894992735566248,5.380323e+14,4.81535e+12,1.92614e+13,"JPN","Japan",0.963306478068325
"Japan","Mining",1,"JPY","Constant",0.0683137425020766,5.380323e+14,3.6755e+11,1.4702e+12,"JPN","Japan",0.963306478068325
"Norway","Fishing",1,"NOK","Constant",0.529226246516577,3.130183e+12,16565750000,6.6263e+10,"NOR","Norway",0.578248939439004
"Norway","Mining",1,"NOK","Constant",0.0490226929224266,3.130183e+12,1534500000,6.138e+09,"NOR","Norway",0.578248939439004
